"","epsilon","beta1","beta2","beta3","beta4","beta5"
"1","5",0.308432438190854,0.525331844089213,0.886475720255935,1.23603377457682,1.71923841041492
"2","7.5",0.150922097863643,0.292632483693872,0.556658983643945,0.928321259014084,1.29180325941751
"3","10",0.0923997984296419,0.177581428702242,0.328276966153047,0.58289062137828,1.09279352571507
"4","20",0.041745454338358,0.0754568650121765,0.117708952258967,0.335102927819997,0.697708684956195
"5","50",0.0303372699428384,0.041798763438023,0.0597383983775773,0.109026062567708,0.207034721806401
"6","100",0.0237045734398943,0.0294056040504096,0.0496126829572004,0.0706594148017198,0.141931155394024
"7","Inf",0.0239084887153206,0.0305815369693695,0.0418858270166863,0.0490770428096682,0.0762929383090532
