"","epsilon.vec","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",5,0.695709924436482,1.11608079000746,1.30352542260157,0.67175029072686,0.786004061107653,0.6669250169634,1.4098526851594,0.759068064859378,1.00792101442403,0.90616573726545,1.04391516326986,0.899741515392901,0.901618152871792,0.808143891984441,1.04379297138404,0.69830482244742,1.11153093284972,0.976182454784143,0.843572575896174,0.759500004499079,0.896498458593949,0.728682252808409,0.970781974577063,0.883669702842601,0.717540143383652,1.04918877207117,0.610100331657989,1.11759441576733,0.751447492846828,0.79989580575503,0.757898735793106,0.965622418106741,0.819729757450561,1.01119091277565,0.894633071302089,0.82126578430664,1.05867218918743,1.02835386473532,1.16157323266261,0.845261719708917,0.782426218408769,1.1531230397728,0.829846339025128,1.17088544318442,0.768923887882064,0.977102412005399,1.17049518721189,0.687125346549999,0.89911432675289,0.744249177079145,0.759158563890368,0.728779183012004,0.977060833704064,0.759262704010838,0.803010409813233,0.942006081080033,0.784356310419432,0.726211426495067,0.936929368989567,0.727369996572635,0.759971201461714,0.8852553794925,0.639134739438086,0.888453530072469,1.03947744545657,1.05072406256369,0.843340423515939,0.908169543954554,0.915868913255718,0.760050842212749,0.887424741282612,0.839608110167794,0.813061142037331,0.794526820171473,0.804652244476441,0.619749603501277,1.09426162630002,0.939274630551728,0.836249754926641,1.15813210510566,1.08653469188021,0.871976821791681,0.874478644025015,0.936129294341264,0.915358069537174,0.635549364888175,1.22111906705451,0.801359216416018,0.9471402370917,0.636154714103281,1.12542391541849,0.762616037597132,1.24907505202895,0.806734334647873,0.832655148263314,0.87648919532207,0.86886599496329,1.03313128055716,1.28600813092197,0.835367470117424
"2",7.5,0.367592085759902,0.677268105976402,0.767169800602315,0.377833207937552,0.429158709632752,0.364990528787121,0.933452404287626,0.416170350576975,0.585273235921499,0.561179544992824,0.635690643236285,0.507617654234973,0.503100249746216,0.423353764371553,0.582028428816537,0.384969167986347,0.651197328326335,0.58305776107405,0.464238176885906,0.41277090295798,0.49376742869048,0.403739058673507,0.55822393408753,0.524266112175982,0.388817913346289,0.694131453991789,0.332832761717197,0.624880199868432,0.419586079033258,0.449737812256051,0.41571003300857,0.536829654408005,0.456716786703419,0.574177023533147,0.525404375629502,0.441671684441755,0.597620029160064,0.610822460130679,0.741533813596649,0.476898474794528,0.429938439764335,0.681711195981549,0.454820957639204,0.661325723485905,0.428511817576755,0.574237983998261,0.666776674187707,0.368101747496224,0.480879380928327,0.402122691685421,0.404567814163621,0.394889213850692,0.57463319700708,0.428937301568066,0.451326843399832,0.526489193112958,0.449592635354908,0.37815947305823,0.491880664459849,0.39485546822983,0.407592265352353,0.482849161801929,0.344707755504402,0.494859403417717,0.587378411310051,0.616250847897698,0.470189854198699,0.516049579127791,0.546238765361336,0.418277264105984,0.518246808174034,0.481397317037699,0.444798934894545,0.433359213126126,0.452724210282045,0.335815207679968,0.616115794968755,0.532691301709571,0.452487351531776,0.688763218125514,0.647954928951266,0.508292798957682,0.489361002410719,0.496781841088805,0.51611382093832,0.343451106542806,0.729024510972087,0.456718055015339,0.539106268526096,0.339794324678314,0.627632352200393,0.419778080284563,0.746973302835892,0.456294943938354,0.459870265085623,0.487528728134412,0.456905687917566,0.605221897163302,0.769956802604121,0.490319242614283
"3",10,0.221142190854821,0.437157780041003,0.45653432330575,0.236335225911026,0.256571075624485,0.222930284463601,0.654766148311355,0.252354579041073,0.360414006320293,0.366437613978691,0.403553667504358,0.305137952482131,0.29852499952203,0.246815677837452,0.344218205680323,0.236289008242845,0.403640952974527,0.369819785630027,0.2786880525997,0.247545670342749,0.29136427258994,0.250469653452339,0.334810242801423,0.330116359001463,0.233454933028827,0.499686902132292,0.206840514852241,0.366274985794985,0.248689373618235,0.274505480572568,0.255601613851854,0.31766128457048,0.27258981417988,0.346534234605307,0.334731101379227,0.259331759250221,0.351672713972906,0.379680908975227,0.491519485689279,0.29077695985754,0.259273651984003,0.424098187333157,0.272614409355927,0.393181573073508,0.261923167198816,0.359518281080881,0.389889014266997,0.223024592067905,0.281818649012837,0.241120876026026,0.240677246923894,0.237783885665742,0.356242301643156,0.266765105440802,0.278990735336298,0.321208613066076,0.280020599292997,0.227951641030146,0.286980233938352,0.238844048894254,0.243156235847581,0.284240561959561,0.209819683547042,0.300302980632049,0.347425644087141,0.38072565857088,0.27967735940669,0.312943601155214,0.345249295819072,0.255305456073148,0.328550326873878,0.291406529773101,0.266598793677148,0.260746931818292,0.276916829818182,0.206988452207077,0.36407491321071,0.321779067541852,0.269454932646932,0.427370546600414,0.401396050322762,0.323566193569504,0.297945086331463,0.289819247387922,0.310165950739251,0.207596604665028,0.450756550865562,0.280972801489261,0.326600420179006,0.20623341781396,0.369341285979315,0.249212602423315,0.453277942641876,0.281727931113096,0.27487905445989,0.297113481611238,0.269705134839873,0.372030112829006,0.472529902509565,0.301092463984554
"4",20,0.073850289251225,0.113593761144855,0.103105897499909,0.0717373991401841,0.0763465851186781,0.0700515327231895,0.206767215279358,0.0761118025780528,0.0934602983922948,0.0929802424403963,0.0960624343722155,0.0838781944308936,0.0825432718003434,0.0758890059471365,0.0920966540135697,0.0730970231037252,0.103357898604674,0.0976978921392829,0.0815564414966382,0.0744491351244484,0.0807858021677843,0.0780430203919541,0.0838658596880153,0.0836415046193051,0.0736455675167481,0.189828157232308,0.0704203876641565,0.0944206100973553,0.071440551105277,0.0804262113963313,0.0783950237292965,0.086638661853409,0.078627399024257,0.0914703670968909,0.092497524005706,0.077988457403006,0.0922957979117732,0.095732503870484,0.129193747857412,0.0810399674266547,0.0780505220782277,0.107012488237452,0.0803503918377479,0.0999736470809491,0.0784548278570356,0.0937154506814596,0.0963153863167304,0.0736120138230992,0.0839037126880679,0.0745045232517531,0.0765336689360237,0.0729116285576032,0.0913101813007603,0.0770687131968913,0.0826104710736162,0.0893930823523263,0.0815904134980544,0.0777257745171131,0.086694537780596,0.074279413716,0.076360498535333,0.0822792155664516,0.0700665625536463,0.0836607859911323,0.0921513043580722,0.0960403233297905,0.0808569688047193,0.0842545800520196,0.0915286623114016,0.076674342802983,0.0905735397912107,0.0816410896910729,0.0793403135801847,0.0798142339404476,0.079006694114519,0.0695325733228612,0.0931025611604065,0.0874389656536128,0.078911445126734,0.0993929339797233,0.0974631834657568,0.0912593002228328,0.0831098259325816,0.0835938102353552,0.0860946147681534,0.0687031056780764,0.105009213185721,0.0798595579552263,0.0872933987681155,0.0698236994044693,0.0941620744245864,0.0735581506217799,0.105063068685619,0.0824294513012453,0.0803474848211008,0.0855878926346302,0.0822348617629423,0.0943925613488802,0.107882365650029,0.082577248404369
"5",50,0.0230032578492369,0.0265947878172431,0.0261152183050487,0.0213974195796632,0.0226116613126736,0.0212487976241901,0.0293876547224385,0.0226232866849991,0.0250555680907943,0.022970572960481,0.0242895349015014,0.0240438732144402,0.0238004394104083,0.0226242844273895,0.0256933559429415,0.0219301167877996,0.0256911806989751,0.0248710107933525,0.0241068335330739,0.0220556841093401,0.0231643984995177,0.0236241095200171,0.0226664601298421,0.0222273647493279,0.0224498205397003,0.0258016779840842,0.0221698470941318,0.0261227079965782,0.0209838507392536,0.0238568693413402,0.0235414634165252,0.0245610538501992,0.0231756064918197,0.0254509897820713,0.0250293900829843,0.0231997535878993,0.0258409995258714,0.0252808336738747,0.0251553990535457,0.0231112866220945,0.0233145604171359,0.0265169166849431,0.0238588757497063,0.0272898277923174,0.0233596748511163,0.0248326590651204,0.0259897889448696,0.0227869239529684,0.0248820700210927,0.0225432041854011,0.0234026356249917,0.0218286392541457,0.0245408038391642,0.0222826410645494,0.0242657397657331,0.0250744169699666,0.0239543484089689,0.0243997057787449,0.0257534800507479,0.0225907708559164,0.0232676218243968,0.0241059675156222,0.0219409354556187,0.0236231180802026,0.0258926064241632,0.0255403143106658,0.0238919444013999,0.0236037085119901,0.0254868642696644,0.0227482296444123,0.0237051313080942,0.023702366357242,0.0235089563222673,0.0241867836945509,0.0227476094766709,0.0218359291487729,0.0251968439214739,0.0248453383519464,0.0230775501544199,0.0249260024427422,0.0255033960938118,0.0241554260986152,0.0235458078714889,0.0241898014827123,0.024872880369848,0.021401565434298,0.0262352073936893,0.023050700012809,0.0246433319161888,0.0220100127399189,0.0256458088608132,0.0218380867664831,0.0272514507763064,0.0241418918002923,0.0236456046174026,0.0246967956307057,0.0244719069594477,0.0255852294865387,0.0261576726185723,0.0239274090254474
"6",75,0.0144369469322436,0.0162771693729874,0.0158605545386005,0.0134181625847632,0.014083300502594,0.0132771511263546,0.0172196538094534,0.0140781578566578,0.0154545197696497,0.0140919558991896,0.0148891183690213,0.0149041953351468,0.014782377234065,0.0140681150654071,0.015818258361076,0.0136752862030855,0.0157103305929565,0.0153156745002057,0.0150239969227706,0.0137183376296822,0.0143592338922016,0.0148117674078752,0.0139174795403682,0.0136702228619389,0.0140360323029524,0.0151648509988181,0.0139377407188196,0.0161167048243703,0.0130539020866827,0.0149018858145213,0.0147389144107719,0.0151759161072378,0.0144417172394919,0.0157140819738615,0.015513556173941,0.0144355054919104,0.0159566577823316,0.0155883286006359,0.0151124143575575,0.0143395796338365,0.0145393134339196,0.0162618412028875,0.0148961132530258,0.0167984572616495,0.0146134212525859,0.0152857833201511,0.0159426208726066,0.0142734234786589,0.0154924072886679,0.0141048359479314,0.0146512561117603,0.0136011209403,0.0151443906850066,0.0138668360635083,0.0151404577131243,0.0155233747611866,0.0149380332233128,0.0153374141892622,0.0160261123434729,0.0141610117028708,0.0145635109424851,0.0149799350456506,0.013796217545902,0.0146249956510979,0.0159901547858436,0.0157094554465693,0.0149001633507271,0.0146390990187139,0.0158595298345047,0.0141828089660497,0.0146680982481004,0.0147306257957083,0.014649501076337,0.0151695209535472,0.0141278216847408,0.0137432421819271,0.015441002125359,0.0154161901331121,0.0143409285797888,0.0151783983301041,0.0156674995131067,0.0149822274544197,0.0146005411951659,0.0149857747423253,0.01546584092239,0.0134344618193876,0.0159904587564884,0.014326608957146,0.0152875121062762,0.0138676889756328,0.0157337478143135,0.0136124006987805,0.0166665869738917,0.0150393029909663,0.0146960413337805,0.0153434097924465,0.0152343581812966,0.0157815407409074,0.0158672484908504,0.0149102654357236
"7",100,0.0104931535988852,0.0117091093954513,0.011346893599616,0.00975947237446397,0.0101989359738264,0.00962803539977064,0.0122015864439049,0.0101866359389091,0.0111470072752457,0.010140510020265,0.0107127144613969,0.0107697224970401,0.0106966014511393,0.0101763266603199,0.011383704317815,0.00990492434825506,0.0112830298632997,0.0110417076207808,0.0108859057348788,0.00992490203202644,0.0103788573611571,0.0107656426089476,0.0100104027935643,0.00984310337631178,0.0101816116288299,0.0107883902946269,0.0101364438536877,0.0116247744774631,0.00944918250026981,0.0108122594409108,0.0107068822504321,0.0109457053756143,0.010464607506442,0.0113334055002715,0.0112156106221244,0.0104458641322392,0.0115089851254201,0.0112455127266295,0.0107766509220317,0.010368233966443,0.0105344814798697,0.0117050350806677,0.0108061149533443,0.0120997327038131,0.0106111656935947,0.0110099468627593,0.0114617720484256,0.0103613675838965,0.011218455468418,0.0102421387036103,0.0106381491302562,0.00984944992042412,0.0109266850735477,0.0100414632706103,0.0109772398552791,0.0112106023370657,0.0108255535762413,0.0111575405960313,0.0116004666123645,0.0102929525816864,0.0105742989225046,0.0108359805035792,0.0100385938907276,0.0105616396703225,0.0115319102790992,0.0113127173279369,0.0108012596985045,0.0105898009826072,0.0114948921710051,0.0102764882157752,0.0106027145671472,0.0106568455028472,0.0106130802825173,0.0110325789193686,0.0102174828993391,0.0100054318356707,0.0110884746394076,0.0111488215753729,0.0103746076752357,0.0108769352320166,0.0112801233699359,0.0108419113935152,0.0105550645577447,0.010823606076282,0.0111964574499807,0.00976536116334585,0.0114666378196489,0.0103659656475282,0.0110585768719761,0.0101041995420638,0.0113087516202268,0.00986369434327951,0.0119686752445838,0.0108918241671245,0.0106281161406284,0.0110985468721516,0.0110294642091593,0.0113818851504907,0.0113510867221168,0.0108066455335232
