"","epsilon","beta1","beta2","beta3","beta4","beta5"
"1","5",1.01931771237277,1.37035732432333,1.82355305328892,2.15871881299144,2.57081386723058
"2","7.5",0.540172513904531,0.842627583376354,1.19697885831578,1.64511027450167,2.03646884220804
"3","10",0.370969011809515,0.602183448391033,0.902779994244446,1.32561609418005,1.73364349391038
"4","20",0.147464021726858,0.243591389314904,0.378018258045275,0.693482273892146,1.04807704405107
"5","50",0.064545050611279,0.102928292313087,0.151901418013971,0.229192709217277,0.422365169863104
"6","100",0.0437232442957572,0.0664111655045792,0.0942447300467185,0.144386662916153,0.232069389526671
"7","Inf",0.0278059218844351,0.0387050535811237,0.0415764667506393,0.051239696381802,0.0739592349617787
