"","epsilon.vec","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",5,1.49525485257636,2.06945177803828,2.31990055183236,1.39682186121545,1.59531907858026,1.42753448720663,2.46609899737726,1.58443457223114,1.91259146178936,1.74640703446071,1.92613338388636,1.7677599538138,1.75505792212061,1.64374391948603,2.02025877737146,1.48146247951436,2.07199006576167,1.86612529692108,1.69880323707589,1.56687051074174,1.74034264649432,1.54284448997773,1.82493163060112,1.71384609602457,1.5151591011216,1.94262679088853,1.37427614146867,2.07707633043736,1.51472501377522,1.62593833420698,1.56887109491361,1.8703572202735,1.64379802262516,1.94398138309159,1.76989327835752,1.66524439574438,1.99926195264649,1.93551896474711,2.10890681431781,1.68066766316661,1.61380994599869,2.1106891730143,1.65794849801462,2.17055639370311,1.57753571705582,1.8811303357136,2.14589316659862,1.48594282829058,1.78265079086265,1.53411311425336,1.56991480275742,1.51589661438908,1.86231096036388,1.54821814008625,1.65222318283833,1.85002821440349,1.62192436737075,1.56016477661526,1.85830337672687,1.50483493570975,1.5703503194834,1.75144960554596,1.38945689549862,1.75072944309665,1.98531693154584,1.98247660470976,1.6813073331769,1.75014933684314,1.78435498046586,1.57233284882427,1.72553338634825,1.68278705520582,1.63829740671597,1.61336594537976,1.62663626292572,1.36552743510719,2.05928766302261,1.81986254663826,1.66707758460592,2.10319584917084,2.01545033371046,1.72368607733005,1.73207204933486,1.83066768912983,1.79030981389509,1.38478790537337,2.20445058985155,1.62737717171756,1.82033103546498,1.38375601377472,2.09591165259303,1.53755705300222,2.26902794293136,1.65603365806544,1.69463779289547,1.75562758937546,1.74934903296733,1.95065991013955,2.28792122913435,1.66619211466122
"2",7.5,0.981170639498413,1.45194309288788,1.61741300863401,0.937860432499067,1.06441782198515,0.946812840577034,1.8196786024257,1.05348644262878,1.3174293506673,1.23078018062935,1.35363508833447,1.19479458042716,1.18335078491958,1.07946864471714,1.36754123597318,0.985548695063686,1.43325776675955,1.29820318980937,1.1380282755989,1.04046726334983,1.16770788193881,1.03079945180251,1.24953025203474,1.18263577067146,1.00496467276872,1.41806655570486,0.908765402251874,1.41161467889639,1.01926411552797,1.09486406644767,1.04471440139896,1.26124791844321,1.10584089239181,1.32312107133214,1.21718753453252,1.10674439901438,1.36218589865797,1.34682661163757,1.5194418809777,1.13550788558457,1.07795932136963,1.47066823770562,1.10874710611832,1.48140055091519,1.06174893913169,1.29751950614167,1.47285163547488,0.978802186614167,1.18314380192724,1.01563457591418,1.03673716006192,1.00250053475484,1.28797909128016,1.04204972443142,1.11252391457728,1.24807325559006,1.0988436197243,1.01968810904063,1.2239910670252,0.999028867839043,1.03870791403803,1.17210024946569,0.917636276302566,1.17803726895994,1.35059422757826,1.36873026118077,1.1348191002178,1.1909689083946,1.23824003547534,1.04750310856523,1.18554395162967,1.14505009969296,1.09395725668089,1.07547297889242,1.09682908072834,0.90139714622521,1.40112994429442,1.2390599664734,1.10867668732829,1.46579879646266,1.40538888830954,1.18331195728673,1.16649603868235,1.21139505346839,1.21333661580255,0.915832684007054,1.54272087093178,1.1009754644068,1.23921268920151,0.910177592900987,1.41932100362242,1.03012930035098,1.5914033622957,1.11898458859037,1.13537199770566,1.17960233750873,1.1497914097517,1.34629286887287,1.60676414903097,1.14649068104363
"3",10,0.692867674270999,1.07081682292276,1.16312616945615,0.674714361053094,0.754824932054291,0.67382668947767,1.40345776312484,0.748781173864935,0.952218018964182,0.912204069522402,0.994222766676419,0.85320444640947,0.841331535076567,0.755262407011249,0.971526969127368,0.703073545824391,1.03905282080771,0.949989305761655,0.809191339123283,0.736855397298934,0.826725987832621,0.738554317732571,0.894821996292791,0.860319038539202,0.712477469382676,1.09820642115881,0.649343581347167,1.00193543125518,0.724486374742279,0.784290519281436,0.745583075260461,0.89546855719504,0.787225833923802,0.947156734753122,0.887835753440484,0.780170035515732,0.969972894880573,0.980246638721545,1.14103100135274,0.813008909984859,0.766771720386801,1.07040592229953,0.787701447038885,1.05677872313912,0.760028315371234,0.942681824264098,1.04898717837293,0.693664223455392,0.832963713449364,0.718944584742762,0.731855526993212,0.709899045863548,0.934407123308107,0.748876573998987,0.798813379989333,0.892495852918319,0.793035609347349,0.718894889887313,0.857551323602589,0.709506068966229,0.734263599671685,0.828986951597453,0.652073960957319,0.840428414923203,0.962634133954667,0.991389845933748,0.808342915413646,0.853749388555115,0.905265272252728,0.746251216530534,0.862787246286644,0.822233860457256,0.776768929434949,0.764343492636796,0.785440650972497,0.642243067045706,0.996736352148586,0.887881682539133,0.783796329616981,1.06524830499404,1.02257510682083,0.861727485957792,0.83341486168507,0.849413160713637,0.867403590146253,0.650003101977106,1.12236700649836,0.791259245758779,0.888536819663405,0.645204201767423,1.00643567127622,0.731000190320351,1.15409041427162,0.80440023598168,0.806809742744881,0.842695206424859,0.807008223654354,0.974163795889281,1.1680122996853,0.830114677534813
"4",20,0.280464204966644,0.420012148802944,0.409888044238129,0.271454856377772,0.293430175000097,0.269206890650567,0.619314650118773,0.29390956488615,0.361485283069913,0.357830211327901,0.373264779423984,0.324031257319387,0.317879222643537,0.29162204878879,0.362331193786649,0.280499307651977,0.394635334217276,0.370782769986574,0.313745706401182,0.287249883615655,0.311173550922996,0.298075620462693,0.328261011346132,0.326890223949825,0.282966934768743,0.524929375002314,0.269052938296562,0.366899208295404,0.277167355039261,0.307628413878067,0.29760353542798,0.336107089701014,0.303076548465839,0.35589644750408,0.352129983406929,0.301273393736806,0.35896210754181,0.371045087510425,0.455934224951738,0.312918303105524,0.300737247658333,0.406184234765827,0.306088153876503,0.388549968872446,0.300951024301503,0.362046473554792,0.378216948883766,0.280754583992823,0.320388758023312,0.283205981367489,0.29028057339758,0.278950993435485,0.354606396135439,0.294904074493232,0.316892435642808,0.34391948531044,0.314292021006613,0.293338784728407,0.330055290358919,0.281812375115297,0.290359280502378,0.316894197756062,0.265988296503625,0.322338296335448,0.358545941903261,0.373042848957862,0.31160586004224,0.324421123418025,0.352453723669233,0.29399887771411,0.341026100044946,0.316656509089209,0.302790665440572,0.301886279346282,0.305329010368236,0.263919966393042,0.36559784659527,0.337915989077518,0.302007475989954,0.389563078051833,0.380550066252777,0.344273411848427,0.320477842365767,0.321214985671216,0.331380162069983,0.263218833676936,0.410907751350466,0.308409302794218,0.336304619785133,0.263869341690419,0.366875322707361,0.282695464653713,0.416880208798502,0.317672940581393,0.311797449527534,0.32824074026,0.313073391588992,0.366057031420184,0.422752827158097,0.320720392670153
"5",50,0.0918322327037381,0.109363044546673,0.108227813867381,0.0851108339255437,0.0910145038886185,0.0855370506574864,0.12988352126059,0.0914972408311139,0.102157470361058,0.0951084304973974,0.0995357834958858,0.0971383532628019,0.0957517017593851,0.0911603568436745,0.105588409475875,0.0883419308939267,0.105907420377217,0.101890781259613,0.0970288149410902,0.0891176396408561,0.0933007154036477,0.0946729593083845,0.0925828588868402,0.0911744192356163,0.0903274890613254,0.11456741433725,0.0888964248898408,0.105911369535865,0.0848269947409885,0.0955841414401961,0.0939271915893587,0.0996794655417658,0.0932949926578125,0.103570602163162,0.101654812968694,0.0937553180015215,0.104917115511733,0.103288167653894,0.106988408640502,0.0934876607379527,0.0940225076659576,0.108590509027578,0.0952910149709812,0.110935431412902,0.0938390826032321,0.101634987284703,0.106369727565237,0.0913364785391552,0.099717291321931,0.0898941120889128,0.0933024752575253,0.0876491894700424,0.100140199136404,0.0896231698361925,0.0977561480386618,0.101613781946107,0.0967159241300437,0.0970467814025753,0.103106703039518,0.0899280792437083,0.0928792851755285,0.0971842604896375,0.0874561243874895,0.0956238846857675,0.105245295916076,0.104310069273878,0.0961617552176303,0.0952105034843859,0.102927533573932,0.0914829759795464,0.096203404608586,0.0960118873109962,0.0941944866031566,0.0960258972147177,0.0921390806052485,0.0870142839061825,0.103534066349034,0.100430747513283,0.0927010043723013,0.102710512019057,0.104414234660059,0.0982367832404165,0.0952764868656836,0.0974855233568562,0.100123218341869,0.0858486640729279,0.108184078598967,0.0932667376547942,0.0992711477081822,0.0873707905579514,0.104527778248174,0.0877504018714349,0.112628097048176,0.0975879819381711,0.0959042032867519,0.0996043705565253,0.0979906800521615,0.103992047199754,0.108550845984324,0.0968088853267606
"6",75,0.0580360995140783,0.0665185137414637,0.0654724270977386,0.0536382285731852,0.056931073312324,0.053706722315479,0.0729505939848577,0.0571737054123152,0.0629621785379342,0.0580078011988866,0.0607816610074471,0.060399088273478,0.0596579319259474,0.056959562234769,0.0650422621443536,0.0553652430092502,0.0645169586224253,0.0625542556214401,0.060718992290906,0.0556535701321069,0.0580176791152658,0.0596494646742937,0.0568258089673403,0.055961516984034,0.0567642562937514,0.0640062314378271,0.0562493835021902,0.0654134918699935,0.0529137451146599,0.0599797279252194,0.0591353652000191,0.0617465066706842,0.0583465293277849,0.0640233752618232,0.0630232247283384,0.0585780846602482,0.0648959325500159,0.0635561172985918,0.0632292530363239,0.0581373102912249,0.0588872360114083,0.066331772659582,0.0598053201881072,0.0683555234395744,0.0589326682350423,0.0624988863994282,0.0652230432242719,0.0575885040760524,0.0624273598587977,0.0565736850027215,0.0588060040579358,0.0549055339392186,0.061728462368697,0.0559736239476712,0.0612212837603603,0.0630484056267955,0.0605233706997094,0.0614877783650381,0.064551862635137,0.0567130170812193,0.058499723479105,0.0606385869037716,0.055370992459464,0.0593411971113915,0.0651158787442872,0.0641092459521777,0.0601955874286216,0.0591406338887144,0.0640952010162781,0.057292460027776,0.0594476459100863,0.0598350507818341,0.0590095932577769,0.0606036547990411,0.0573691571767901,0.0551389900368838,0.0634406590120393,0.06245808320789,0.0578755114720326,0.0623181727386951,0.0640007398906891,0.0608361037245817,0.0591997129235012,0.0606410484480239,0.0624661894823207,0.0541953207733764,0.0656738934856846,0.0581205956593962,0.0617214568159411,0.0554499168508579,0.0642034673324216,0.0549318883608876,0.0686384279314791,0.0610046956733387,0.059801726912326,0.0621130404369788,0.0613658587364203,0.0641599538526166,0.065474885414219,0.0604421375856371
"7",100,0.0423063603109874,0.0477421234598112,0.0467216450159491,0.0391097232601998,0.0412965789275307,0.0390153955370877,0.0509750290599547,0.0414254986403836,0.0453893821215762,0.0416285810915742,0.0436563934535582,0.0436912031447008,0.04322191826178,0.0412713288421012,0.0467806629457103,0.0401775878683815,0.0462478262075776,0.0450412808927944,0.044064124495947,0.0403173321168948,0.0419827697889573,0.0434456405662677,0.0408464253792463,0.0402419323391158,0.0412551409625743,0.044846142813921,0.0410131091478973,0.0471898649836128,0.038333340000872,0.0436068740982411,0.0430664229960017,0.0445650211594835,0.0423366976941023,0.0461812499044677,0.0455741399390306,0.0424458302056149,0.0468262553719892,0.0458017664532041,0.0447886818795242,0.0420672083333303,0.0427328433798409,0.0476680252133782,0.043486979075135,0.0492427141841702,0.0428627379901172,0.0449859593737279,0.0468546755686487,0.0419140057339138,0.0453074806623158,0.0411842016173244,0.0428240080056112,0.0398439252250726,0.0445053324602096,0.0405941492680676,0.0444529949211724,0.0455661909204694,0.0439206506385835,0.0448838989051123,0.0468425451320417,0.0413364605247877,0.0425893607248998,0.0439293542385184,0.0404092435826735,0.0428877003260404,0.0469793783473484,0.0461404473875633,0.0437006499335907,0.0428073619692871,0.0464780226960733,0.0415859275184388,0.0429581638421981,0.0433252039567906,0.0428454336414556,0.0442057889243533,0.0415232965501017,0.0402612854695518,0.0455232627859739,0.0452068657574462,0.0419463342115282,0.0445689722280318,0.0460213526438317,0.0440030151735443,0.0428242132721663,0.0438623511271703,0.0452845251768337,0.0394809924816781,0.0469933998423916,0.0420897306512758,0.0446900766549281,0.0405316135248029,0.0461472670168927,0.0398709357674323,0.0491820676491819,0.0442388874977674,0.0432888620043266,0.0449954812353702,0.0445351902957019,0.046272163473981,0.0466979705378141,0.0438366271229944
