"","N","np.le1","p.le1.e1","p.le1.e2","p.le1.e3","np.ge1","p.ge1.e1","p.ge1.e2","p.ge1.e3"
"1",100,0.408879956671922,3.52687406574404,3.07842835209548,2.69455278649413,0.0494105643212152,0.656160411478898,0.416778994429737,0.406722688873408
"2",500,0.220359241710657,2.05587980658935,1.49323168950152,1.17118048897435,0.00663565084967906,0.0454708644411817,0.0268644523353852,0.0195964504624904
"3",1000,0.183432150427313,1.53334640099558,1.02917044283137,0.803043890654454,0.00317437193619846,0.0135285751565628,0.00789062531174064,0.0060926951022817
"4",1500,0.166628251375902,1.27427644015354,0.812973044357031,0.618964340481125,0.00202727326798532,0.00624646247949413,0.00422070116898945,0.00334410805743345
"5",2000,0.141455724887993,1.18561195751253,0.729914913319797,0.541556424505834,0.00153802519787883,0.00400286839816031,0.0028676153286569,0.00245848145309357
"6",2500,0.123775476237578,1.12785870554899,0.733645099895993,0.556392655565546,0.00137887720863137,0.003058635182338,0.00208434305998296,0.00188185003831646
"7",3000,0.10603267202295,0.943229406462649,0.608717212980537,0.481907795598204,0.0010648882184741,0.00234557778218618,0.00170654511093209,0.00149241108585759
"8",3500,0.127461342456563,0.923940943668499,0.569444334867932,0.420542098539544,0.000859908555069604,0.00187215481034961,0.00129859093568638,0.00119729576221799
"9",4000,0.104388519104249,0.817517115074823,0.529637602739477,0.41093836100008,0.000797617079735342,0.00149077089056872,0.00114419120100408,0.000978821694174947
